nombre_en_fuente,orcid,veredicto,detalle,dois_atribuidos,dois_en_registro,dois_coincidentes,afiliacion_institucional_declarada,afiliaciones_declaradas
Pineda T.,0000-0002-9537-0658,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,53,1,False,Hospital del Trabajador | Hospital el Carmen
Pizarro S.,0000-0003-3454-4252,confirmada,2 de 2 DOI atribuidos aparecen en el registro del titular,2,3,2,True,Finis Terrae University | SAMU Metropolitano
Pizarro S.I.,0000-0003-3454-4252,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,3,1,True,Finis Terrae University | SAMU Metropolitano
Ponce N.,0000-0002-4360-8249,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,3,1,True,Dirección de Salud | Finis Terrae University
Prado-Medel C.,0000-0001-5115-2133,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,2,1,True,Finis Terrae University
Puyol F.,0000-0002-2161-5894,confirmada,2 de 6 DOI atribuidos aparecen en el registro del titular,6,7,2,True,Finis Terrae University
Rego T.,0000-0003-2271-4568,confirmada,3 de 3 DOI atribuidos aparecen en el registro del titular,3,9,3,True,Universidad Finis Terrae | Universidad Adolfo Ibanez Campus Viña Del Mar | Universidad Católica de La Plata
Rivera-Tovar P.R.,0000-0001-8064-3070,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,2,1,True,Universidad Finis Terrae
Roa Cáceres C.,0000-0002-6049-9718,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,6,1,False,Universidad de Chile | Hospital San Juan de Dios
Rodríguez M.F.,0000-0001-5578-922X,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,9,1,True,Universidad Finis Terrae
Rojas D.,0000-0002-1675-2958,sin_coincidencia,el titular declara 13 obras con DOI y ninguna coincide con las atribuidas a esta firma,3,13,0,False,
Rojas-Costa G.M.,0000-0002-6228-2678,confirmada,4 de 5 DOI atribuidos aparecen en el registro del titular,5,27,4,True,Finis Terrae University | Clínica Las Condes
Rojas-Saffie J.P.,0000-0001-5269-0865,confirmada,3 de 3 DOI atribuidos aparecen en el registro del titular,3,6,3,True,Universidad Finis Terrae
