tipo,severidad,clave,nombre_en_fuente,detalle,consecuencia,resolucion,en_poblacion_uft,coocurren_en_publicaciones,n_publicaciones_sin_otra_deteccion
P-03_variantes_de_nombre,alta,sepulveda,Sepúlveda P. P.,Sepulveda I.|Sepúlveda A I.|Sepúlveda P. P.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,sepulveda,Sepúlveda A I.,Sepulveda I.|Sepúlveda A I.|Sepúlveda P. P.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,sepulveda,Sepulveda I.,Sepulveda I.|Sepúlveda A I.|Sepúlveda P. P.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,soto,Soto M.,Soto L.|Soto M.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,soto,Soto L.,Soto L.|Soto M.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,tabiloprieto,Tabilo-Prieto I.,Tabilo Prieto I.|Tabilo-Prieto I.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,tabiloprieto,Tabilo Prieto I.,Tabilo Prieto I.|Tabilo-Prieto I.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,tapia,Tapia V.,Tapia I.|Tapia V.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,tapia,Tapia I.,Tapia I.|Tapia V.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,valderrama,Valderrama P.,Valderrama E P.|Valderrama P.|Valderrama Y.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,valderrama,Valderrama Y.,Valderrama E P.|Valderrama P.|Valderrama Y.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,valderrama,Valderrama E P.,Valderrama E P.|Valderrama P.|Valderrama Y.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,valenzuela,Valenzuela R.,Valenzuela C.|Valenzuela L. G.|Valenzuela R.|Valenzuela T.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,valenzuela,Valenzuela T.,Valenzuela C.|Valenzuela L. G.|Valenzuela R.|Valenzuela T.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,valenzuela,Valenzuela L. G.,Valenzuela C.|Valenzuela L. G.|Valenzuela R.|Valenzuela T.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,valenzuela,Valenzuela C.,Valenzuela C.|Valenzuela L. G.|Valenzuela R.|Valenzuela T.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,vallejos,Vallejos P. G.,Vallejos G.|Vallejos P. G.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,vallejos,Vallejos G.,Vallejos G.|Vallejos P. G.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,vansint,Van Sint Jan N.,Van Sint Jan N.|van Sint Jan D N.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,vansint,van Sint Jan D N.,Van Sint Jan N.|van Sint Jan D N.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,vasquez,Vasquez F.,Vasquez F.|Vásquez F.|Vásquez G.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,vasquez,Vásquez F.,Vasquez F.|Vásquez F.|Vásquez G.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,vasquez,Vásquez G.,Vasquez F.|Vásquez F.|Vásquez G.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,zamorano,Zamorano S.,Zamorano A.|Zamorano S.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,zamorano,Zamorano A.,Zamorano A.|Zamorano S.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-04_nombre_con_multiples_scopus_id,alta,"Gutiérrez, Juan","Gutiérrez, Juan",57192703299|59221961900,perfil Scopus fragmentado u homonimia,NO_RESOLVER_AUTOMATICAMENTE,True,0.0,
P-04_nombre_con_multiples_scopus_id,alta,"De la Fuente López, Marjorie","De la Fuente López, Marjorie",23090504600|60150573200,perfil Scopus fragmentado u homonimia,NO_RESOLVER_AUTOMATICAMENTE,True,0.0,
P-04_nombre_con_multiples_scopus_id,alta,"Richter, Erik A.","Richter, Erik A.",35475650900|57218256582,perfil Scopus fragmentado u homonimia,NO_RESOLVER_AUTOMATICAMENTE,False,0.0,
P-04_nombre_con_multiples_scopus_id,alta,"Torres, Keila","Torres, Keila",57224867683|60596438800,perfil Scopus fragmentado u homonimia,NO_RESOLVER_AUTOMATICAMENTE,True,0.0,
P-04_nombre_con_multiples_scopus_id,alta,"Rojas-Costa, Gonzalo M.","Rojas-Costa, Gonzalo M.",58805405100|7004503519,perfil Scopus fragmentado u homonimia,NO_RESOLVER_AUTOMATICAMENTE,True,0.0,
P-04_nombre_con_multiples_scopus_id,alta,"Qian, Hongwei","Qian, Hongwei",60077451400|7201520523,perfil Scopus fragmentado u homonimia,NO_RESOLVER_AUTOMATICAMENTE,False,0.0,
