firma,orcid,eid,doi,match,fecha_consulta
Figueroa-Moya D.,0000-0003-2118-9159,2-s2.0-105019930683,10.5212/PraxEduc.v.20.24620.068,apellido+inicial,2026-08-27
Bilicic D.,0000-0002-1421-8989,2-s2.0-105019937487,10.3390/cosmetics12050216,apellido+inicial,2026-08-27
Benites M.H.,0000-0001-6366-534X,2-s2.0-105020199353,10.1186/s13054-025-05694-z,apellido+inicial,2026-08-27
Pineda T.,0000-0002-9537-0658,2-s2.0-105020593436,10.1002/ksa.70132,apellido+inicial,2026-08-27
Muzard A.,0000-0002-3803-1983,2-s2.0-105021421573,10.1080/02668734.2025.2576057,apellido+inicial,2026-08-27
López-Arana S.,0000-0002-4312-1318,2-s2.0-105021446355,10.3390/nu17213481,apellido+inicial,2026-08-27
Lopez-Arana S.,0000-0002-4312-1318,2-s2.0-105021462010,10.1080/16549716.2025.2574132,apellido+inicial,2026-08-27
Etchegaray-Armijo K.,0000-0002-8536-3729,2-s2.0-105021636801,10.3390/nu17213444,apellido+inicial,2026-08-27
Fernández-Verdejo R.,0000-0002-5948-2281,2-s2.0-105022004567,10.1210/clinem/dgaf247,apellido+inicial,2026-08-27
Mujika I.,0000-0002-8143-9132,2-s2.0-105022195058,10.1123/ijspp.2025-0025,apellido+inicial,2026-08-27
Rojas-Costa G.M.,0000-0002-6228-2678,2-s2.0-105022610814,10.1038/s41598-025-25186-y,apellido+inicial,2026-08-27
Lang M.,0000-0002-8465-5471,2-s2.0-105023068352,10.3390/ijms262210843,apellido+inicial,2026-08-27
Simón L.,0000-0002-0130-3519,2-s2.0-105023504126,10.3390/antiox14111369,apellido+inicial,2026-08-27
Ponce N.,0000-0002-4360-8249,2-s2.0-105024529012,10.17126/joralres.2025.020,apellido+inicial,2026-08-27
Moya P.,0000-0002-8442-2571,2-s2.0-105024529012,10.17126/joralres.2025.020,apellido+inicial,2026-08-27
Aguilar-Risco C.,0009-0003-4455-3889,2-s2.0-105024993739,10.7717/peerj.20364,apellido+inicial,2026-08-27
Montalva-Valenzuela F.,0000-0003-0004-3089,2-s2.0-105025676736,10.3390/psychiatryint6040120,apellido+inicial,2026-08-27
Gubbins V.,0000-0003-2175-2941,2-s2.0-105025746138,10.3390/covid5120208,apellido+inicial,2026-08-27
Casals M.,0000-0001-6746-4473,2-s2.0-105032576880,10.61490/eial.v34i1.1796,apellido+inicial,2026-08-27
Casals M.,0000-0001-6746-4473,2-s2.0-105034689949,10.38178/07183089/1916231230,apellido+inicial,2026-08-27
López-Arana S.,0000-0002-4312-1318,2-s2.0-105034853792,10.64159/RCHNUT-52-5-10,apellido+inicial,2026-08-27
López-Arana S.,0000-0002-4312-1318,2-s2.0-105034890639,10.64159/RCHNUT-52-6-7,apellido+inicial,2026-08-27
Rocco-Toloza V.,0000-0002-5555-9720,2-s2.0-105037529753,10.4067/s0717-6643202500020197,apellido+inicial,2026-08-27
Galleguillos R.,0000-0001-6065-5218,2-s2.0-105037997770,10.1109/CHILECON66915.2025.11476660,apellido+inicial,2026-08-27
Bustos-Muñoz D.,0009-0005-5991-8793,2-s2.0-105038642980,10.4067/S0071-17132025000200349,apellido+inicial,2026-08-27
Nieto I.,0000-0001-5600-9248,2-s2.0-85099562409,10.1007/s00146-020-01138-0,apellido+inicial,2026-08-27
Valenzuela T.,0000-0001-7764-0223,2-s2.0-85110601012,10.1519/JPT.0000000000000321,apellido+inicial,2026-08-27
Santos M.,0000-0002-2658-3764,2-s2.0-85118540330,10.1177/14614448211054830,apellido+inicial,2026-08-27
Valle M.A.,0000-0003-1362-2776,2-s2.0-85124551018,10.1007/s43076-022-00148-9,apellido+inicial,2026-08-27
Santibáñez D.,0000-0001-7840-9138,2-s2.0-85124814881,10.1007/s11165-022-10042-0,apellido+inicial,2026-08-27
Flores-Opazo M.,0000-0001-8743-1708,2-s2.0-85129294437,10.1080/02701367.2021.2022087,apellido+inicial,2026-08-27
Jannas-Vela S.,0000-0001-9619-592X,2-s2.0-85132607927,10.1080/02701367.2022.2060926,apellido+inicial,2026-08-27
Ceron M.L.,0000-0001-8662-8189,2-s2.0-85137245275,10.1002/qua.27008,apellido+inicial,2026-08-27
Festa R.R.,0000-0003-4757-483X,2-s2.0-85137821773,10.1055/a-1929-0295,apellido+inicial,2026-08-27
Ruiz-Riquelme P.,0000-0002-3293-8189,2-s2.0-85144904044,10.1007/s00167-022-07294-8,apellido+inicial,2026-08-27
Mujika I.,0000-0002-8143-9132,2-s2.0-85145242290,10.1123/ijspp.2022-0186,apellido+inicial,2026-08-27
Mujika I.,0000-0002-8143-9132,2-s2.0-85145242374,10.1123/ijspp.2022-0233,apellido+inicial,2026-08-27
