nombre_en_fuente,orcid,veredicto,detalle,dois_atribuidos,dois_en_registro,dois_coincidentes,afiliacion_institucional_declarada,afiliaciones_declaradas,fecha_consulta,tipo,severidad,consecuencia,resolucion
Díaz F.,0000-0003-4763-074X,sin_coincidencia,el titular declara 73 obras con DOI y ninguna coincide con las atribuidas a esta firma,14,73,0,False,Hospital El Carmen de Maipú | Hospital Clínico La Florida Dra. Eloísa Díaz Insunza | Clínica Alemana de Santiago SA | Hospital Padre Hurtado | The University of Alabama at Birmingham Department of Pediatrics | Children's of Alabama | Clínica Alemana,2026-09-01,V2-01_asignacion_orcid_no_verificada,alta,la asignación firma→ORCID no se confirma en el registro,PENDIENTE_REVISION_HUMANA
Escobar-González S.,0000-0003-2786-1487,sin_coincidencia,el titular declara 15 obras con DOI y ninguna coincide con las atribuidas a esta firma,1,15,0,True,Universidad Finis Terrae,2026-09-01,V2-01_asignacion_orcid_no_verificada,alta,la asignación firma→ORCID no se confirma en el registro,PENDIENTE_REVISION_HUMANA
Ferre Contreras A.,0000-0003-1770-244X,sin_coincidencia,el titular declara 29 obras con DOI y ninguna coincide con las atribuidas a esta firma,1,29,0,True,Universidad Finis Terrae | Finis Terrae University | Clinica las condes,2026-09-01,V2-01_asignacion_orcid_no_verificada,alta,la asignación firma→ORCID no se confirma en el registro,PENDIENTE_REVISION_HUMANA
Fuente M.D.L.,0000-0003-0577-7604,sin_coincidencia,el titular declara 4 obras con DOI y ninguna coincide con las atribuidas a esta firma,1,4,0,True,Universidad Finis Terrae | Clínica Las Condes,2026-09-01,V2-01_asignacion_orcid_no_verificada,alta,la asignación firma→ORCID no se confirma en el registro,PENDIENTE_REVISION_HUMANA
Gaete M.,0000-0003-1846-2417,sin_coincidencia,el titular declara 10 obras con DOI y ninguna coincide con las atribuidas a esta firma,2,10,0,False,Pontificia Universidad Católica de Chile,2026-09-01,V2-01_asignacion_orcid_no_verificada,alta,la asignación firma→ORCID no se confirma en el registro,PENDIENTE_REVISION_HUMANA
García F.,0000-0002-9548-5252,sin_coincidencia,el titular declara 6 obras con DOI y ninguna coincide con las atribuidas a esta firma,1,6,0,False,Universidad Metropolitana de Ciencias de la Educación,2026-09-01,V2-01_asignacion_orcid_no_verificada,alta,la asignación firma→ORCID no se confirma en el registro,PENDIENTE_REVISION_HUMANA
Giordanino E.,0000-0001-7380-4753,sin_coincidencia,el titular declara 19 obras con DOI y ninguna coincide con las atribuidas a esta firma,2,19,0,True,Universidad Finis Terrae | Fundación Favaloro Hospital Universitario | Clínica Las Condes,2026-09-01,V2-01_asignacion_orcid_no_verificada,alta,la asignación firma→ORCID no se confirma en el registro,PENDIENTE_REVISION_HUMANA
Giordanino E.F.,0000-0001-7380-4753,sin_coincidencia,el titular declara 19 obras con DOI y ninguna coincide con las atribuidas a esta firma,1,19,0,True,Universidad Finis Terrae | Fundación Favaloro Hospital Universitario | Clínica Las Condes,2026-09-01,V2-01_asignacion_orcid_no_verificada,alta,la asignación firma→ORCID no se confirma en el registro,PENDIENTE_REVISION_HUMANA
González A.,0000-0002-6139-4299,sin_coincidencia,el titular declara 81 obras con DOI y ninguna coincide con las atribuidas a esta firma,4,81,0,False,"Universidad San Sebastián, Campus Los Leones",2026-09-01,V2-01_asignacion_orcid_no_verificada,alta,la asignación firma→ORCID no se confirma en el registro,PENDIENTE_REVISION_HUMANA
Gómez G.,0000-0001-5193-2738,sin_coincidencia,el titular declara 3 obras con DOI y ninguna coincide con las atribuidas a esta firma,1,3,0,False,Municipio de Itaguí,2026-09-01,V2-01_asignacion_orcid_no_verificada,alta,la asignación firma→ORCID no se confirma en el registro,PENDIENTE_REVISION_HUMANA
