forma_de_firma,scopus_author_ids,n_scopus_ids,orcid_master,orcid_detallado,orcid_fuente,orcid_confianza,n_publicaciones,unidades,n_unidades,confianza_max,identidad_grupo,identidad_origen
Orellana-Donoso M.I.,57219486372,1,,0000-0002-1781-062X,OpenAlex,media,1,Facultad de Medicina y Salud,1,alta,,
Brocco S.Z.,58866816700,1,,,,,1,No determinada,0,alta,,
Orellana C.,59701323800,1,,,,,1,Escuela de Nutrición y Dietética,1,alta,,
Prieto I.T.,57832434200,1,,0000-0002-7501-5085,OpenAlex,media,1,No determinada,0,alta,,
Prado-Medel C.,59304070900,1,,0000-0001-5115-2133,Crossref,media,1,Facultad de Educación y Ciencias Sociales,1,alta,,
Ponce P.,60619681700,1,,,,,1,Facultad de Ingeniería,1,alta,,
Ponce N.,60235144400,1,,0000-0002-4360-8249,Crossref,media,1,Facultad de Medicina y Salud,1,alta,,
Ponce D.,58189290000,1,,0000-0002-6178-6938,OpenAlex,media,1,No determinada,0,alta,,
Polanco V.,35345476800,1,,,,,1,Facultad de Ingeniería,1,alta,,
Poblete Alday P.,55816334800,1,,0000-0001-6191-8518,Revisión humana (candidato por afiliación confirmado),alta,1,No determinada,0,alta,,
Pizarro S.I.,59137082400,1,,0000-0003-3454-4252,Crossref,media,1,Facultad de Medicina y Salud,1,alta,Pizarro S.,humana
Botto Stuven A.,59540906500,1,,,,,1,No determinada,0,alta,,
Pinzón-Merchán M.,59538410000,1,,,,,1,Facultad de Educación y Ciencias Sociales,1,alta,,
Bopp M.-J.,,0,,0000-0002-3683-4993,Crossref,media,1,Facultad de Ingeniería,1,alta,,
Pino-Zuñiga J.,57209908331,1,,,,,1,Facultad de Medicina y Salud,1,alta,Pino-Zúñiga J.,humana
Pino J.,57200436343|57209908331,2,,,,,1,Escuela de Kinesiología,1,alta,,
Pineda T.,57226539956,1,,0000-0002-9537-0658,Crossref,media,1,Facultad de Medicina y Salud,1,alta,,
Peñaloza P.F.,59223292100,1,,,,,1,Facultad de Artes,1,alta,,
Perez-Jiménez D.,58169838200,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Riquelme P.R.,58070104900,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Reyes M.,55819047100|59926881700,2,,0000-0001-5279-4234,OpenAlex,media,1,No determinada,0,alta,,
Reyes J.,57669095300,1,,,,,1,No determinada,0,alta,,
Bilicic D.,60158612800,1,,0000-0002-1421-8989,Crossref,media,1,Facultad de Medicina y Salud,1,alta,,
Regueira T.,57226227863,1,,0000-0001-7253-5651,ORCID (declarado por el titular),media,1,Facultad de Medicina y Salud,1,alta,,
Beytia Osses I.,59916568400,1,,0009-0008-4178-5429,Crossref,media,1,No determinada,0,alta,,
Reccius-Meza A.,59975384800,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Ramos-Navarro C.,58162095700,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Ramos-Alarcón M.B.,60374611700,1,,0009-0009-5482-9467,Revisión humana (candidato por afiliación confirmado),alta,1,Facultad de Medicina y Salud,1,alta,,
Ramos T.F.,57682886400,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Ramos T.,57682886400,1,,0000-0001-8563-5483,OpenAlex,media,1,Facultad de Medicina y Salud,1,alta,,
Berrocal Silva L.,36655345200,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Ramirez P.,59158543100|59866075000,2,,0000-0003-0593-7161,OpenAlex,media,1,Facultad de Medicina y Salud,1,alta,,
Quintero K.C.,,0,,,,,1,No determinada,0,alta,,
Quintana-Guiñez F.,59272797500,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Benites M.,56204920800,1,,0000-0001-6366-534X,OpenAlex,media,1,No determinada,0,alta,,
Roncone D. E.,58242709200,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Romero-Zucchino D.,59008702600,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Romero C.,59181075700,1,,,,,1,No determinada,0,alta,,
Bencina Matus F.,59916162200,1,,0000-0002-7490-514X,Crossref,media,1,No determinada,0,alta,,
Bellomi P.,16318516500,1,,,,,1,No determinada,0,media,,
Rojas J.P.,59559636600,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Rojas Gonzaga T.,60081478000,1,,,,,1,No determinada,0,alta,,
Angulo J.,56684392200,1,,0000-0002-0471-4751,Crossref,media,1,Facultad de Medicina y Salud,1,alta,,
Rodríguez M.F.,57191271638,1,,0000-0001-5578-922X,Crossref,media,1,Facultad de Educación y Ciencias Sociales,1,alta,,
Rodríguez I.,58063024000,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Andrade Kobayashi M.,60590937300,1,,0000-0002-6004-1301,Crossref,media,1,No determinada,0,alta,,
Rodas C.,59442987600,1,,,,,1,No determinada,0,alta,,
Rocco-Toloza V.,60608355200,1,,0000-0002-5555-9720,ORCID (declarado por el titular),media,1,No determinada,0,alta,,
Roa Cáceres C.,57221543815,1,,0000-0002-6049-9718,Crossref,media,1,No determinada,0,alta,,
Rivera-Tovar P.R.,57207760909,1,,0000-0001-8064-3070,Crossref,media,1,Facultad de Medicina y Salud,1,alta,,
Rivas Orrego J.,59476057300,1,,,,,1,No determinada,0,alta,,
Sandoval P.P.P.,59032333000,1,,,,,1,Facultad de Derecho,1,alta,,
Sanchez-Duque C.G.,60042606100,1,,0009-0000-9651-2841,Crossref,media,1,Facultad de Educación y Ciencias Sociales,1,alta,Sánchez-Duque C.,humana
San Martín T.,60207790000,1,,0000-0003-3134-2305,Crossref,media,1,No determinada,0,alta,,
Salvadó J.A.,9241266900,1,,0000-0001-7354-3012,ORCID (declarado por el titular),media,1,No determinada,0,alta,,
Salomé Mariotti Celis M.,55386795700,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Carrasco G.,57211151423,1,,,,,1,No determinada,0,alta,,
Salas N.,53064631900,1,,0000-0001-8815-5979,Crossref,media,1,Facultad de Educación y Ciencias Sociales,1,alta,,
Caro-Navarro J.,60101649200,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Saffie J.P.R.,58142735700,1,,,,,1,No determinada,0,alta,,
Caro J.C.,60235304400,1,,0009-0005-8002-1366,Crossref,media,1,Facultad de Medicina y Salud,1,alta,,
Carneiro A.M.Y.,59174100300,1,,0000-0002-3163-2495,OpenAlex,media,1,No determinada,0,alta,,
Ruiz Riquelme P.,58070104900,1,,0000-0002-3293-8189,ORCID (declarado por el titular),media,1,Facultad de Medicina y Salud,1,alta,Ruiz-Riquelme P.,humana
Rugeles F.L.,60395991500,1,,0000-0001-5086-2192,Crossref,media,1,No determinada,0,alta,,
Rufin-Larraín A.,59657427000,1,,0009-0006-7284-7026,Crossref,media,1,No determinada,0,alta,,
Roos J.A.C.,58532724500,1,,,,,1,No determinada,0,alta,,
Roos A.C.,58698786000,1,,,,,1,No determinada,0,alta,,
Silva I.M.,59781031500,1,,,,,1,No determinada,0,alta,,
Silva A.K.,57188743733,1,,0000-0002-4992-7072,ORCID (declarado por el titular),media,1,No determinada,0,alta,,
Shabani R.,57485639100,1,,0000-0001-8781-7862,OpenAlex,media,1,No determinada,0,alta,,
Serrano M.J.,58743009800,1,,0000-0001-7968-9434,OpenAlex,media,1,No determinada,0,alta,,
Sepúlveda P. P.,57105513600,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Sepúlveda J.P.M.,57132295800,1,,,,,1,Facultad de Educación y Ciencias Sociales,1,alta,,
Sepúlveda A I.,55884627800,1,,,,,1,No determinada,0,alta,,
Sepulveda I.,55884627800,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
School of Psychology,,0,,,,,1,No determinada,0,alta,,
Schlageter F.,58752140500,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Saúl M.J.,58162095800,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Canihuante C.Z.,58309977600,1,,0000-0002-6992-2877,Crossref,media,1,No determinada,0,alta,,
Candell M.B.,59532969600,1,,0009-0003-4572-490X,OpenAlex,media,1,Facultad de Medicina y Salud,1,alta,,
Caffarena Barcenilla P.,57549937000,1,,,,,1,Facultad de Humanidades y Comunicaciones,1,alta,,
C F.O.,60075427400,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Bäuerle N.E.,58147724600,1,,,,,1,No determinada,0,alta,,
Tapia V.,59712949900,1,,0009-0008-8319-3683,Crossref,media,1,Escuela de Nutrición y Dietética,1,alta,,
Tapia R.H.,60016881300,1,,,,,1,No determinada,0,media,,
Tapia I.,58640189700,1,,,,,1,Facultad de Economía y Negocios,1,alta,,
Tabilo-Prieto I.,57832434200,1,,0000-0002-7501-5085,Crossref,media,1,No determinada,0,alta,Tabilo Prieto I.,humana
Tabilo Prieto I.,57832434200,1,,0000-0002-7501-5085,ORCID (declarado por el titular),media,1,No determinada,0,alta,Tabilo Prieto I.,humana
